fantasyPlayerId,name,team,position,matchId,rating,minutesPlayed,goals,assists,yellowCard,redCard,cleanSheet,goalsConceded,penaltyWon,penaltyScored,penaltyMissed,penaltyCommitted,penaltySaved,longBalls,totalClearances,blockedShots,interceptions,wonTackles,duelsWon,duelsTotal,wasFouled,passesCompleted,passesTotal,keyPass,dispossessed,offsides,dribblesWon,dribblesTotal,savedShotsInside,savedShotsOutside,runsOut,punches
88155,İrfan Can Kahveci,Türkiye,M,15186887,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0
88545,Jonathan Tah,Germany,D,15186907,6.7,90,0,0,0,0,0,2,0,0,0,0,0,4,5,1,0,2,2,6,0,94,99,0,0,0,0,1,0,0,0,0
88660,Angus Gunn,Scotland,G,15186861,8.3,90,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,1,0,23,35,0,0,0,0,0,4,1,0,0
89185,Fredrik Aursnes,Norway,M,15186537,6.5,90,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,5,6,7,0,47,53,1,0,0,1,2,0,0,0,0
88780,Ahmed Alaaeldin,Qatar,F,15186829,6.4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,3,0,0,0,0,0,0,0,0,0
88788,Boualem Khoukhi,Qatar,D,15186829,6.2,90,0,0,0,0,0,3,0,0,0,0,0,2,5,2,0,1,2,4,0,50,58,0,0,0,0,0,0,0,0,0
88885,Kim Seung-gyu,South Korea,G,15186744,6.5,90,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,31,36,0,0,0,0,0,1,2,0,0
88665,Lawrence Shankland,Scotland,F,15186861,6.3,89,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,8,1,13,18,3,1,0,0,0,0,0,0,0
89037,Chancel Mbemba,DR Congo,D,15186717,7.1,90,0,0,0,0,0,1,0,0,0,0,0,8,4,0,0,2,6,9,1,45,53,0,0,0,0,0,0,0,0,0
88679,Douglas Santos,Brazil,D,15186861,6.6,82,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,2,0,38,39,0,0,0,0,0,0,0,0,0
88676,Fabinho,Brazil,M,15186861,6.9,25,0,0,1,0,0,0,0,0,0,0,0,1,3,0,2,0,2,3,0,27,28,0,0,0,0,0,0,0,0,0
88680,Alisson,Brazil,G,15186861,8.5,90,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,16,18,0,0,0,0,0,4,1,0,0
88282,Brandon Mechele,Belgium,D,15186822,7,90,0,0,0,0,0,1,0,0,0,0,0,3,8,0,0,1,3,6,0,55,59,0,0,0,1,1,0,0,0,0
88653,John McGinn,Scotland,M,15186861,6.3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,28,30,1,0,0,1,2,0,0,0,0
88581,Brandley Kuwas,Curaçao,M,15186908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,1,0,0,0,0
88993,Leandro Paredes,Argentina,M,15186734,7.1,90,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,154,165,0,1,0,0,0,0,0,0,0
88559,Joshua Kimmich,Germany,D,15186907,7,60,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,5,8,3,54,60,0,0,0,0,0,0,0,0,0
88644,Andy Robertson,Scotland,D,15186861,6.2,45,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,3,0,31,35,0,0,0,0,0,0,0,0,0
