name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Christopher Baah,C. Baah,M,Ghana,5,0,0,0.1,0
Yahia Fofana,Y. Fofana,G,Côte d'Ivoire,5,7,7,0.9,0
Gaël Kakuta,G. Kakuta,M,DR Congo,4,0,0,0.2,0
Kevin Danso,K. Danso,D,Austria,4.5,2,2,0.5,0
Montassar Talbi,M. Talbi,D,Tunisia,4.5,7,7,0.2,0
Petar Musa,P. Musa,F,Croatia,4.5,0,0,0.2,0
Ismael Koné,I. Koné,M,Canada,5.5,2,2,0.5,0
Redouane Halhal,R. Halhal,D,Morocco,4.5,0,0,0.1,0
Antonio Sanabria,A. Sanabria,F,Paraguay,5.5,0,0,0.7,0
Tomás Araújo,T. Araújo,D,Portugal,4.5,0,0,0.3,0
Yehvann Diouf,Y. Diouf,G,Senegal,4,0,0,0.1,0
Ezri Konsa,E. Konsa,D,England,5.5,0,0,1.8,0
Haris Tabaković,H. Tabaković,F,Bosnia & Herzegovina,5,0,0,0,0
Dominique Simon,D. Simon,M,Haiti,4,0,0,0.1,0
Alireza Jahanbakhsh,A. Jahanbakhsh,M,Iran,4,0,0,0.2,0
Mathías Olivera,M. Olivera,D,Uruguay,5,8,8,0.4,0
Agustín Canobbio,A. Canobbio,M,Uruguay,5,1,1,0.3,0
Tomáš Souček,T. Souček,M,Czechia,5.5,4,4,0.7,0
Zeno Debast,Z. Debast,D,Belgium,5,0,0,0,0
Damián Bobadilla,D. Bobadilla,M,Paraguay,5.5,-3,-3,0.2,0
Jovo Lukić,J. Lukić,F,Bosnia & Herzegovina,4,7,7,0.3,0
Koni De Winter,K. De Winter,D,Belgium,4.5,0,0,0.2,0
Ladislav Krejčí,L. Krejčí,D,Czechia,5.5,9,9,1.5,0
Ali Maamar,A. Maamar,D,Morocco,4.5,0,0,0,0
Farès Ghedjemis,F. Ghedjemis,F,Algeria,4.5,0,0,0,0
Yassine Titraoui,Y. Titraoui,M,Algeria,5,0,0,0.1,0
Daniel Svensson,D. Svensson,D,Sweden,5,1,1,0.2,0
Hamdy Fathy,H. Fathy,M,Egypt,4.5,4,4,0.1,0
Akram Afif,A. Afif,M,Qatar,4,5,5,1.5,0
Santiago Arias,S. Arias,D,Colombia,4,0,0,0.6,0
Alan Franco,A. Franco,M,Ecuador,5,4,4,0.1,0
Tyler Adams,T. Adams,M,USA,5,4,4,0.5,0
Jhon Córdoba,J. Córdoba,F,Colombia,4.5,0,0,0.2,0
İsmail Yüksek,İ. Yüksek,M,Türkiye,5.5,7,7,0.4,0
Denis Zakaria,D. Zakaria,M,Switzerland,5.5,3,3,0.6,0
Oğuz Aydın,O. Aydın,M,Türkiye,4.5,0,0,0.1,0
Nadiem Amiri,N. Amiri,M,Germany,4.5,0,0,0.2,0
Antonee Robinson,A. Robinson,D,USA,5,5,5,1,0
Zeki Çelik,Z. Çelik,D,Türkiye,5,1,1,0.2,0
Amine Sbai,A. Sbai,F,Morocco,4,0,0,0.2,0
Alban Lafont,A. Lafont,G,Côte d'Ivoire,4.5,0,0,0.3,0
Achref Abada,A. Abada,D,Algeria,4,0,0,0.1,0
Mostafa Ziko,M. Ziko,M,Egypt,4.5,0,0,0.2,0
Adam Hložek,A. Hložek,M,Czechia,5,2,2,0.1,0
Themba Zwane,T. Zwane,M,South Africa,4,-3,-3,0.1,0
Kevin Castaño,K. Castaño,M,Colombia,4.5,0,0,0.1,0
Otabek Shukurov,O. Shukurov,M,Uzbekistan,4,0,0,0.1,0
Timothy Fayulu,T. Fayulu,G,DR Congo,4,0,0,0.1,0
Toni Fruk,T. Fruk,M,Croatia,4,0,0,0.6,0
Ghislain Konan,G. Konan,D,Côte d'Ivoire,5,8,8,0.1,0
Anis Ben Slimane,A. B. Slimane,M,Tunisia,4.5,1,1,0,0
Ángelo Preciado,Á. Preciado,M,Ecuador,4.5,0,0,0.1,0
Ko Itakura,K. Itakura,D,Japan,5,0,0,0.2,0
Kevin Rodriguez,K. Rodríguez,F,Ecuador,5,0,0,0.1,0
Mehdi Al Harrar,M. Harrar,G,Morocco,4.5,0,0,0.1,0
Kaishu Sano,K. Sano,M,Japan,6,1,1,0.9,0
Ahmed Nadhir Benbouali,A. N. Benbouali,F,Algeria,4,0,0,0.1,0
Alan Minda,A. Minda,F,Ecuador,4.5,0,0,0.1,0
Tani Oluwaseyi,T. Oluwaseyi,F,Canada,5,2,2,0.1,0
Ibrahim Bayesh,I. Bayesh,M,Iraq,4,3,3,0,0
Tyler Fletcher,T. Fletcher,M,Scotland,4,0,0,0.6,0
Duje Ćaleta-Car,D. Ćaleta-Car,D,Croatia,5,0,0,0.1,0
Tahith Chong,T. Chong,M,Curaçao,4,6,6,0.5,0
Brian Rodríguez,B. Rodríguez,M,Uruguay,5,1,1,0.2,0
Gustavo Puerta,G. Puerta,M,Colombia,4.5,0,0,0.1,0
Mert Müldür,M. Müldür,D,Türkiye,4.5,1,1,0.1,0
Rubén Vargas,R. Vargas,M,Switzerland,5.5,7,7,0.6,0
Hans Vanaken,H. Vanaken,M,Belgium,5.5,1,1,0.5,0
Jeremy Arevalo,J. Arévalo,F,Ecuador,4,0,0,0.3,0
Thomas Meunier,T. Meunier,D,Belgium,5,3,3,0.4,0
Carl Fred Sainté,C. F. Sainté,D,Haiti,4,0,0,0,0
Matías Fernández-Pardo,M. Fernandez,F,Belgium,5.5,0,0,0.8,0
Yukinari Sugawara,Y. Sugawara,D,Japan,4.5,2,2,0.1,0
